objectid,eser_adi,muellif_adi,cild_adedi,sayfa_no,ilave_notlar,kaynak
haltercemesi_0057,Terceme-i Hâl ve Hikâyât-ı İbn-i Sînâ,Kadı Ziyaeddin Seyyid Yahya,,183,1039 (1630).,"Bursalı Mehmed Tâhir, Osmanlı Müellifleri Eserinin 3. cild, Tarihçiler Faslı - İsimleri Muhtelif Fasıllarda Zikr Edilmeyen Hal Tercemesi Kitabları"
haltercemesi_0058,Tezkire-yi Makamat - Çorum Vefeyât-ı Meşâhiri,İzzet Efendi,,183,,"Bursalı Mehmed Tâhir, Osmanlı Müellifleri Eserinin 3. cild, Tarihçiler Faslı - İsimleri Muhtelif Fasıllarda Zikr Edilmeyen Hal Tercemesi Kitabları"
haltercemesi_0059,Cevâhirü'l-Menâkıb,Şefik Efendi,,183,,"Bursalı Mehmed Tâhir, Osmanlı Müellifleri Eserinin 3. cild, Tarihçiler Faslı - İsimleri Muhtelif Fasıllarda Zikr Edilmeyen Hal Tercemesi Kitabları"
haltercemesi_0060,İbni Esirler ve Meşâhîr-i Ulemâ,Mehmed Şerefeddîn Efendi,,184,,"Bursalı Mehmed Tâhir, Osmanlı Müellifleri Eserinin 3. cild, Tarihçiler Faslı - İsimleri Muhtelif Fasıllarda Zikr Edilmeyen Hal Tercemesi Kitabları"
haltercemesi_0061,Osmanlılar,Mehmed Selâhaddin Bey,,184,,"Bursalı Mehmed Tâhir, Osmanlı Müellifleri Eserinin 3. cild, Tarihçiler Faslı - İsimleri Muhtelif Fasıllarda Zikr Edilmeyen Hal Tercemesi Kitabları"
haltercemesi_0062,Menâkıb-ı Şeyh Nasuhî-yi Halvetî,Senâî,,184,Yazma.,"Bursalı Mehmed Tâhir, Osmanlı Müellifleri Eserinin 3. cild, Tarihçiler Faslı - İsimleri Muhtelif Fasıllarda Zikr Edilmeyen Hal Tercemesi Kitabları"
haltercemesi_0063,Mir'ât-ı Mekteb-i Tıbbiye,Doktor Rıza Tahsîn Bey,,184,,"Bursalı Mehmed Tâhir, Osmanlı Müellifleri Eserinin 3. cild, Tarihçiler Faslı - İsimleri Muhtelif Fasıllarda Zikr Edilmeyen Hal Tercemesi Kitabları"
haltercemesi_0064,Müverrihîn-i Osmaniyeden Âli ve Kâtib Çelebi'nin Terceme-i Hâlleri,Bursalı Mehmed Tahir,,184,,"Bursalı Mehmed Tâhir, Osmanlı Müellifleri Eserinin 3. cild, Tarihçiler Faslı - İsimleri Muhtelif Fasıllarda Zikr Edilmeyen Hal Tercemesi Kitabları"
haltercemesi_0065,"Hazret-i Haticetü'l-Kübrâ, Hazret-i Fâtımatü'z-Zehrâ, Hazret-i Âişe-i Sıddîka, Hazret-i Ümmü Habîbe",Fatma Şâdiye Hanım,,184,Hanımlara mahsus gazete müdiresi.,"Bursalı Mehmed Tâhir, Osmanlı Müellifleri Eserinin 3. cild, Tarihçiler Faslı - İsimleri Muhtelif Fasıllarda Zikr Edilmeyen Hal Tercemesi Kitabları"
haltercemesi_0066,Şeyhü'l-İslâm Zenbilli Ali Efendi'nin Terceme-i Hâli,Hayrullah Nedîm Efendi,,184,,"Bursalı Mehmed Tâhir, Osmanlı Müellifleri Eserinin 3. cild, Tarihçiler Faslı - İsimleri Muhtelif Fasıllarda Zikr Edilmeyen Hal Tercemesi Kitabları"
haltercemesi_0067,Siyer-i Nebî,Hâlid Efendi,,184,Manzum.,"Bursalı Mehmed Tâhir, Osmanlı Müellifleri Eserinin 3. cild, Tarihçiler Faslı - İsimleri Muhtelif Fasıllarda Zikr Edilmeyen Hal Tercemesi Kitabları"
haltercemesi_0068,Terceme-i Hâl-i Pîrî Mehmed Cemalî Paşa,,,184,Yazma. Müellif adı belirtilmemiş.,"Bursalı Mehmed Tâhir, Osmanlı Müellifleri Eserinin 3. cild, Tarihçiler Faslı - İsimleri Muhtelif Fasıllarda Zikr Edilmeyen Hal Tercemesi Kitabları"
haltercemesi_0069,Câmi'u's-Siyer,Mehmed Tahir Efendi,,184,Yazmadır.,"Bursalı Mehmed Tâhir, Osmanlı Müellifleri Eserinin 3. cild, Tarihçiler Faslı - İsimleri Muhtelif Fasıllarda Zikr Edilmeyen Hal Tercemesi Kitabları"
haltercemesi_0070,Tabakat-ı Fukahâ,Küçük Şemsi Efendi,,184,Yazma.,"Bursalı Mehmed Tâhir, Osmanlı Müellifleri Eserinin 3. cild, Tarihçiler Faslı - İsimleri Muhtelif Fasıllarda Zikr Edilmeyen Hal Tercemesi Kitabları"
haltercemesi_0071,Siyerü'n-Nebî,Abdurrahman Efendi,,184,"Manzum, yazma.","Bursalı Mehmed Tâhir, Osmanlı Müellifleri Eserinin 3. cild, Tarihçiler Faslı - İsimleri Muhtelif Fasıllarda Zikr Edilmeyen Hal Tercemesi Kitabları"
haltercemesi_0072,Selîm-nâme,Çerkez kâtiblerinden Yusuf Efendi,,184,"Mansur, yazma.","Bursalı Mehmed Tâhir, Osmanlı Müellifleri Eserinin 3. cild, Tarihçiler Faslı - İsimleri Muhtelif Fasıllarda Zikr Edilmeyen Hal Tercemesi Kitabları"
haltercemesi_0073,Siyerü'n-Nebî,İzmirli Hakkı Efendi,,184,Mansûr.,"Bursalı Mehmed Tâhir, Osmanlı Müellifleri Eserinin 3. cild, Tarihçiler Faslı - İsimleri Muhtelif Fasıllarda Zikr Edilmeyen Hal Tercemesi Kitabları"
haltercemesi_0074,Terceme-i Sevâkıb — Menâkıb-ı Mevlânâ,"Derviş Mahmud, Mesnevîhân-ı Konevî",,184,Yazmadır.,"Bursalı Mehmed Tâhir, Osmanlı Müellifleri Eserinin 3. cild, Tarihçiler Faslı - İsimleri Muhtelif Fasıllarda Zikr Edilmeyen Hal Tercemesi Kitabları"
haltercemesi_0075,Mecma'-ı Şuarâ ve Tezkire-i Üdebâ,Mehmed Siraceddin Bey,,184,,"Bursalı Mehmed Tâhir, Osmanlı Müellifleri Eserinin 3. cild, Tarihçiler Faslı - İsimleri Muhtelif Fasıllarda Zikr Edilmeyen Hal Tercemesi Kitabları"
haltercemesi_0076,Tezkire-i Şuarâ,Naîm-zâde Ramız Efendi,,184,Yazma.,"Bursalı Mehmed Tâhir, Osmanlı Müellifleri Eserinin 3. cild, Tarihçiler Faslı - İsimleri Muhtelif Fasıllarda Zikr Edilmeyen Hal Tercemesi Kitabları"
haltercemesi_0077,"Meşâhir-i Mühendisînden Beni Mûsâ'nın Mehmed, Ahmed, Hasan terâcüm-i ahvâli",Şerafeddin Efendi,,184,,"Bursalı Mehmed Tâhir, Osmanlı Müellifleri Eserinin 3. cild, Tarihçiler Faslı - İsimleri Muhtelif Fasıllarda Zikr Edilmeyen Hal Tercemesi Kitabları"
